ROUTE,vuelos,tasa_retraso_pct,distancia,impacto,recomendacion
EGE → MIA,126,16.7,1810.0,0.8076590784608967,MONITOREAR
DTW → APN,573,12.7,198.0,0.806562486022772,MANTENER
APN → DTW,573,12.7,198.0,0.806562486022772,MANTENER
MSP → MSO,430,13.3,1013.0,0.8064834327554519,MANTENER
DSM → DTW,188,15.4,533.782,0.8064120622758122,MONITOREAR
LAN → MSP,518,12.9,455.0,0.8062468062514733,MANTENER
MHT → TPA,446,13.2,1204.0,0.8052421016666486,MANTENER
DIK → DEN,341,13.8,488.0,0.8047997818651254,MANTENER
GEG → MSP,770,12.1,1175.0,0.8042132522965753,MANTENER
CHS → MIA,255,14.5,489.0,0.8034832140479717,MANTENER
PHL → CLE,104,17.3,363.0,0.8034796255514575,MONITOREAR
SLC → PHL,616,12.5,1927.0,0.8029058704416899,MANTENER
LIH → SFO,438,13.2,2447.0,0.8028528961696909,MANTENER
MSP → SJC,458,13.1,1576.0,0.8026198631189583,MANTENER
TTN → RSW,166,15.7,1028.0,0.8025820827719774,MONITOREAR
OKC → BWI,334,13.8,1180.0,0.8019374570307848,MANTENER
MYR → BOS,334,13.8,738.0,0.8019374570307848,MANTENER
MEM → TPA,334,13.8,655.0,0.8019374570307848,MANTENER
DSM → MDW,643,12.4,306.0,0.8018019458054647,MANTENER
MKE → MCI,610,12.5,436.0,0.8016823696459197,MANTENER
ERI → ORD,638,12.4,398.0,0.800833947134754,MANTENER
BOS → CMH,215,14.9,640.0,0.8002250661910216,MANTENER
IAH → CLL,704,12.2,74.0,0.7999269594512811,MANTENER
MSP → AZO,120,16.7,426.0,0.7995111210446015,MONITOREAR
BOI → SEA,1039,11.5,399.0,0.7987916089764112,MANTENER
PIA → DTW,371,13.5,346.0,0.7986872784520038,MANTENER
HNL → SEA,1744,10.7,2677.0,0.798641216678175,MANTENER
SEA → BWI,696,12.2,2335.0,0.7985326585607992,MANTENER
IAH → TYS,776,12.0,771.0,0.7984983024219863,MANTENER
ROC → ATL,973,11.6,749.0,0.7981245535335765,MANTENER
DTW → CHA,442,13.1,505.0,0.7979615945521784,MANTENER
IAH → TYR,688,12.2,163.0,0.7971222382278679,MANTENER
SRQ → ATL,1930,10.5,444.0,0.7943539045993878,MANTENER
BHM → MIA,546,12.6,661.0,0.794129990943858,MANTENER
DCA → JAX,670,12.2,634.0,0.7938878809109714,MANTENER
MSP → SMF,541,12.6,1517.0,0.7929708291346567,MANTENER
ISP → FLL,567,12.5,1092.0,0.792544912965969,MANTENER
TYS → DEN,286,14.0,1162.0,0.7918388535147795,MANTENER
JFK → MVY,121,16.5,173.0,0.7913054400234624,MONITOREAR
MSP → INL,243,14.4,255.0,0.7910008478410391,MANTENER
FAR → DFW,366,13.4,968.0,0.7909528666757831,MANTENER
CLT → SGF,114,16.7,708.0,0.7909451408818807,MONITOREAR
ECP → BWI,209,14.8,798.0,0.7906654692907922,MANTENER
CAK → ORD,1237,11.1,343.0,0.7903693253355661,MANTENER
TOL → ORD,962,11.5,213.0,0.7899366618265563,MANTENER
GRR → DTW,1399,10.9,120.0,0.7895429142385375,MANTENER
